country_code,country_name,region,income_level,capital_city,longitude,latitude,is_fragile_or_conflict,gdp_growth_pct,gdp_growth_pct_year,gdp_per_capita_usd,gdp_per_capita_usd_year,population,population_year,pop_growth_pct,pop_growth_pct_year,urban_pop_pct,urban_pop_pct_year,internet_users_pct,internet_users_pct_year,mobile_subs_per100,mobile_subs_per100_year,life_expectancy,life_expectancy_year,inflation_pct,inflation_pct_year,unemployment_pct,unemployment_pct_year,self_employed_pct,self_employed_pct_year,agriculture_pct_gdp,agriculture_pct_gdp_year,poverty_headcount_pct,poverty_headcount_pct_year,business_reg_rating,business_reg_rating_year
HRV,Croatia,Europe & Central Asia,High income,Zagreb,15.9614,45.8069,False,3.40307537181749,2025.0,27103.9116109268,2025.0,3876200,2025,0.258317977905583,2025,57.8144543604143,2025,83.63240029,2025.0,,,78.9292682926829,2024,3.69153459605729,2025.0,5.002,2025.0,12.7369992006055,2025.0,2.83194407098682,2025.0,0.3,2025.0,,
HTI,Haiti,Latin America & Caribbean ,Lower middle income,Port-au-Prince,-72.3288,18.5392,True,-2.71291075761471,2025.0,2694.18969101404,2025.0,11906095,2025,1.12793089533676,2025,55.6148855859942,2025,47.8614006,2025.0,,,65.119,2024,28.6427976686095,2025.0,14.944,2025.0,76.8339009225743,2025.0,15.8072127258079,2025.0,,,2.0,2025.0
HUN,Hungary,Europe & Central Asia,High income,Budapest,19.0408,47.4984,False,0.509542309726868,2025.0,25907.4743259406,2025.0,9514251,2025,-0.501292808614035,2025,70.6936831786278,2025,93.77898628,2025.0,,,76.7243902439025,2024,4.41198445905562,2025.0,4.521,2025.0,11.6310632244371,2025.0,2.65399769872221,2025.0,0.9,2023.0,,
IDN,Indonesia,East Asia & Pacific,Upper middle income,Jakarta,106.83,-6.19752,False,5.10808904438025,2025.0,5059.62596411213,2025.0,285721236,2025,0.784708535785041,2025,59.3929063969984,2025,72.78075544,2025.0,,,71.288,2024,1.9133344329508,2025.0,3.237,2025.0,53.3370094781928,2025.0,13.0995463199278,2025.0,4.0,2025.0,,
IMN,Isle of Man,Europe & Central Asia,High income,Douglas,-4.47928,54.1509,False,,,,,84118,2025,-0.0499173996269448,2025,52.1358064010515,2025,,,,,81.091,2024,,,,,,,,,,,,
IND,India,South Asia,Lower middle income,New Delhi,77.225,28.6353,False,7.56666179284244,2025.0,2702.47987141553,2025.0,1463865525,2025,0.887183543977214,2025,35.689155772396,2025,70.0,2025.0,,,72.235,2024,2.39884954182294,2025.0,4.219,2025.0,74.903099358,2025.0,16.2342483910129,2025.0,5.3,2025.0,,
IRL,Ireland,Europe & Central Asia,High income,Dublin,-6.26749,53.3441,False,12.3375990291434,2025.0,131592.462547877,2025.0,5484367,2025,1.62826615443033,2025,64.5875793756168,2025,97.18769836,2025.0,,,83.009756097561,2024,2.21044788475857,2025.0,4.632,2025.0,13.3667321550386,2025.0,1.05705676036934,2025.0,0.1,2025.0,,
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Tehran,51.4447,35.6878,False,-2.82597163290347,2025.0,3924.38017821898,2025.0,92417681,2025,0.923930875479985,2025,77.3761530941751,2025,85.3404007,2025.0,,,77.854,2024,42.1712244965444,2025.0,8.301,2025.0,42.9430755373859,2025.0,10.5944482254371,2025.0,2.5,2025.0,,
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Baghdad,44.394,33.3302,True,-2.15574219066178,2025.0,5409.67899716967,2025.0,47020774,2025,2.10351548706844,2025,69.9396739468105,2025,81.47450256,2025.0,,,72.424,2024,0.303454715219382,2025.0,15.485,2025.0,31.6559278240675,2025.0,3.41368848141125,2025.0,0.5,2025.0,,
ISL,Iceland,Europe & Central Asia,High income,Reykjavik,-21.8952,64.1353,False,1.27946207863934,2025.0,98323.4849517418,2025.0,392404,2025,1.51445294794602,2025,94.2179320191117,2025,98.209198,2025.0,,,82.809756097561,2024,4.09085056006515,2025.0,3.625,2025.0,13.2968251358518,2025.0,3.65415170778729,2025.0,0.1,2025.0,,
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,,35.2035,31.7717,False,2.93114966387968,2025.0,60336.8477964194,2025.0,10122800,2025,1.19852366348133,2025,91.5783060866328,2025,88.18242225,2025.0,,,83.1975609756098,2024,3.0414132155654,2025.0,3.489,2025.0,11.342246738728,2025.0,,,0.4,2025.0,,
ITA,Italy,Europe & Central Asia,High income,Rome,12.4823,41.8955,False,0.539583636778445,2025.0,43308.6403060733,2025.0,58915656,2025,-0.0628633523365352,2025,69.680861801678,2025,89.2207202,2025.0,,,83.9512195121951,2024,1.5316682765282,2025.0,6.391,2025.0,21.1241520550434,2025.0,2.06549575303668,2025.0,0.9,2025.0,,
JAM,Jamaica,Latin America & Caribbean ,Upper middle income,Kingston,-76.792,17.9927,False,0.0816454877745656,2025.0,8002.92104076242,2025.0,2837077,2025,-0.0739220209228623,2025,59.4254051751628,2025,90.10870361,2025.0,,,71.606,2024,4.00459048079239,2025.0,3.286,2025.0,35.7495975386225,2025.0,8.74303657894802,2025.0,1.4,2025.0,,
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,Amman,35.9263,31.9497,False,2.82660839845745,2025.0,5347.77731384797,2025.0,11520684,2025,-0.279038179525473,2025,93.2085150119551,2025,95.62244985,2025.0,,,77.981,2024,1.76646490894206,2025.0,16.535,2025.0,11.2076546068098,2025.0,5.56169367394688,2025.0,,,,
JPN,Japan,East Asia & Pacific,High income,Tokyo,139.77,35.67,False,1.19311288444599,2025.0,35951.0449549304,2025.0,123366734,2025,-0.492142838725375,2025,92.3001449420786,2025,85.54153081,2025.0,,,84.0363414634146,2024,3.17253034260248,2025.0,2.451,2025.0,9.05081758353661,2025.0,,,1.2,2025.0,,
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,Astana,71.4382,51.1879,False,6.5,2025.0,14692.1331757237,2025.0,20843754,2025,1.21239553353742,2025,62.3855569507987,2025,93.39167254,2025.0,,,74.531,2024,11.3879454675914,2025.0,4.771,2025.0,26.1258279465708,2025.0,3.7437914177142,2025.0,0.0,2025.0,,
KEN,Kenya,Sub-Saharan Africa ,Lower middle income,Nairobi,36.8126,-1.27975,False,4.63261093844984,2025.0,2362.86091198611,2025.0,57532493,2025,1.92967823977399,2025,32.2121192871745,2025,34.97622513,2025.0,,,63.834,2024,4.06912878540729,2025.0,5.449,2025.0,64.7954860141009,2025.0,23.1599874772131,2025.0,45.5,2025.0,4.0,2025.0
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,Bishkek,74.6057,42.8851,False,11.0960203357132,2025.0,3080.96893823359,2025.0,7343064,2025,1.66425490124613,2025,34.7463537261057,2025,92.0286026,2025.0,,,72.4,2024,8.21496013406325,2025.0,3.526,2025.0,30.5028942546689,2025.0,7.99943573872639,2025.0,2.2,2025.0,3.5,2025.0
KHM,Cambodia,East Asia & Pacific,Lower middle income,Phnom Penh,104.874,11.5556,False,5.34932084572877,2025.0,2872.42926639909,2025.0,17847982,2025,1.17893708663597,2025,41.10561939401,2025,68.47530365,2025.0,,,70.817,2024,2.35127105896507,2025.0,0.263,2025.0,55.5182959674735,2025.0,16.1106828275296,2025.0,,,3.0,2025.0
KIR,Kiribati,East Asia & Pacific,Lower middle income,Tarawa,172.979,1.32905,True,4.22163588390501,2025.0,2558.66636011102,2025.0,136488,2025,1.45386795887331,2025,63.3850857782871,2025,89.44029999,2025.0,,,66.6,2024,,,,,,,,,0.9,2025.0,2.5,2025.0
KNA,St. Kitts and Nevis,Latin America & Caribbean ,High income,Basseterre,-62.7309,17.3,False,2.68858456990016,2025.0,25223.0257622185,2025.0,46922,2025,0.168506412185747,2025,31.8987713138283,2025,76.88400269,2025.0,,,72.281,2024,,,,,,,1.28963007238327,2025.0,,,,
